label,text
star,The star has a surface temperature of 5800 Kelvin.
star,Hydrogen fusion powers the core of the star.
star,The star emits most of its light in the visible spectrum.
star,The stellar spectrum contains strong absorption lines.
star,The star is located within our galaxy.
galaxy,The spiral galaxy contains billions of stars.
galaxy,The galaxy shows evidence of active star formation.
galaxy,Dust lanes are visible in the galaxy image.
galaxy,The galaxy spectrum contains hydrogen emission lines.
galaxy,The galaxy is observed at a redshift of 0.05.
quasar,The quasar contains a rapidly accreting black hole.
quasar,The quasar spectrum shows broad emission lines.
quasar,The quasar is extremely luminous at large distances.
quasar,The central black hole powers the quasar.
quasar,The quasar exhibits significant redshift.
